日付,単位,（常食）朝,（常食）昼,（常食）夜,（刻み食）朝,（刻み食）昼,（刻み食）夜,（極刻み食）朝,（極刻み食）昼,（極刻み食）夜
2026/01/01,食数,70,70,90,0,0,0,0,0,0
2026/01/02,食数,0,95,95,0,0,0,0,0,0
2026/01/03,食数,0,90,90,0,0,0,0,0,0
2026/01/04,食数,0,95,95,0,0,0,0,0,0
2026/01/05,食数,0,140,95,0,0,0,0,0,0
2026/01/06,食数,0,135,95,0,0,0,0,0,0
2026/01/07,食数,0,140,95,0,0,0,0,0,0
2026/01/08,食数,0,135,95,0,0,0,0,0,0
2026/01/09,食数,0,145,95,0,0,0,0,0,0
2026/01/10,食数,0,140,100,0,0,0,0,0,0
2026/01/11,食数,0,100,100,0,0,0,0,0,0
2026/01/12,食数,0,140,100,0,0,0,0,0,0
2026/01/13,食数,0,140,100,0,0,0,0,0,0
2026/01/14,食数,0,145,100,0,0,0,0,0,0
2026/01/15,食数,0,140,100,0,0,0,0,0,0
2026/01/16,食数,0,150,100,0,0,0,0,0,0
2026/01/17,食数,0,140,100,0,0,0,0,0,0
2026/01/18,食数,0,100,100,0,0,0,0,0,0
2026/01/19,食数,0,145,100,0,0,0,0,0,0
2026/01/20,食数,0,135,95,0,0,0,0,0,0
2026/01/21,食数,0,140,100,0,0,0,0,0,0
2026/01/22,食数,0,140,100,0,0,0,0,0,0
2026/01/23,食数,0,150,100,0,0,0,0,0,0
2026/01/24,食数,0,140,100,0,0,0,0,0,0
2026/01/25,食数,0,100,100,0,0,0,0,0,0
2026/01/26,食数,0,140,95,0,0,0,0,0,0
2026/01/27,食数,0,135,95,0,0,0,0,0,0
2026/01/28,食数,0,140,95,0,0,0,0,0,0
2026/01/29,食数,0,135,95,0,0,0,0,0,0
2026/01/30,食数,0,145,95,0,0,0,0,0,0
2026/01/31,食数,0,135,95,0,0,0,0,0,0
合計,食数,70,4020,3010,0,0,0,0,0,0