No,カテゴリNo,感情,一般カテゴリ,コメントカテゴリ,カテゴリに関するコメント,感想原文（参照用）
1,1,好意的,店舗・立地,来店のルーティンがある,朝早めに駅に着いた時に利用してます。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,2,好意的,接客・サービス,接客が丁寧・細やかな気配り,店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,3,好意的,商品・メニュー,推しパン（メニュー）がある,この前キッシュを食べたら具がぎっしりで美味しかったです。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,4,好意的,商品・メニュー,パンが美味しい・満足,今日は紅茶とりんごのパンを頂きました。これも美味しかったです。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,5,リクエスト,商品・メニュー,メニューへのリクエスト,紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。,"朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
1,6,好意的,店舗・立地,お店への感謝・応援の声,"またほっと一息つきに寄らせてください。
いつもありがとうございます。","朝早めに駅に着いた時に利用してます。
店員さんの対応が早くてささっとカフェオレなど出してくれて嬉しいです☺️
この前キッシュを食べたら具がぎっしりで美味しかったです。
今日は紅茶とりんごのパンを頂きました。これも美味しかったです。
紅茶味が好きなのでこれからもいろんな紅茶味のパンを出してくれたら嬉しいです。
またほっと一息つきに寄らせてください。
いつもありがとうございます。"
2,1,好意的,接客・サービス,接客が丁寧・細やかな気配り,"肩の怪我をして、左腕を三角巾のようなもので吊って生活しています。
今日もその状態で行きましたが、パンと紅茶をのせたトレイを前に「大丈夫ですか?」とレジの女性が声をかけてくれました。
この状態で3ヶ月になりますが、今まで一度もそのような声をかけてもらったことがなかったので、一瞬何を言われたのかわからず止まってしまいました。
テーブルへ運ぶことへの気遣い、声をかけてくれたことに心から感謝します。
どうもありがとうございました。","肩の怪我をして、左腕を三角巾のようなもので吊って生活しています。
今日もその状態で行きましたが、パンと紅茶をのせたトレイを前に「大丈夫ですか?」とレジの女性が声をかけてくれました。
この状態で3ヶ月になりますが、今まで一度もそのような声をかけてもらったことがなかったので、一瞬何を言われたのかわからず止まってしまいました。
テーブルへ運ぶことへの気遣い、声をかけてくれたことに心から感謝します。
どうもありがとうございました。"
3,1,好意的,店舗・立地,来店のルーティンがある,学校帰り、バイトまでの空き時間によく立ち寄ります。,"学校帰り、バイトまでの空き時間によく立ち寄ります。1人席が多くて居心地がよく、パンも美味しいので気に入っています
ただ、メニューが店舗によって少ないので少し残念です"
3,2,好意的,運営・設備,清潔で雰囲気・居心地がいい,1人席が多くて居心地がよく、,"学校帰り、バイトまでの空き時間によく立ち寄ります。1人席が多くて居心地がよく、パンも美味しいので気に入っています
ただ、メニューが店舗によって少ないので少し残念です"
3,3,好意的,商品・メニュー,パンが美味しい・満足,パンも美味しいので気に入っています,"学校帰り、バイトまでの空き時間によく立ち寄ります。1人席が多くて居心地がよく、パンも美味しいので気に入っています
ただ、メニューが店舗によって少ないので少し残念です"
3,4,リクエスト,商品・メニュー,メニューへのリクエスト,ただ、メニューが店舗によって少ないので少し残念です,"学校帰り、バイトまでの空き時間によく立ち寄ります。1人席が多くて居心地がよく、パンも美味しいので気に入っています
ただ、メニューが店舗によって少ないので少し残念です"
4,1,好意的,運営・設備,清潔で雰囲気・居心地がいい,BGMが静かめなので落ち着いて食事や読書ができるので気に入っています。,"BGMが静かめなので落ち着いて食事や読書ができるので気に入っています。
個人的にはあんドーナツが大好きです！
あんドーナツでも300円近くするので、だいぶ根上がったなと思いました。"
4,2,好意的,商品・メニュー,推しパン（メニュー）がある,個人的にはあんドーナツが大好きです！,"BGMが静かめなので落ち着いて食事や読書ができるので気に入っています。
個人的にはあんドーナツが大好きです！
あんドーナツでも300円近くするので、だいぶ根上がったなと思いました。"
4,3,不満,価格・支払い,価格に対する意見,あんドーナツでも300円近くするので、だいぶ根上がったなと思いました。,"BGMが静かめなので落ち着いて食事や読書ができるので気に入っています。
個人的にはあんドーナツが大好きです！
あんドーナツでも300円近くするので、だいぶ根上がったなと思いました。"
5,1,好意的,店舗・立地,ルパのファン・常連の声,東府中店すごくいいです。毎日通ってます。,東府中店すごくいいです。毎日通ってます。コーヒーもおいしい。もしできればある程度値段が高くてもいいので朝食としてヘルシーなもの、添加物の少ないものを売っていただけるとありがたいです、個人的にはライ麦パンが食べたいです。ライ麦入りではなく、ライ麦パンですね。毎日の朝食として、本質的に、添加物が少なく健康的でヘルシーなものを求めています。
5,2,好意的,商品・メニュー,コーヒー・ドリンクが美味しい,コーヒーもおいしい。,東府中店すごくいいです。毎日通ってます。コーヒーもおいしい。もしできればある程度値段が高くてもいいので朝食としてヘルシーなもの、添加物の少ないものを売っていただけるとありがたいです、個人的にはライ麦パンが食べたいです。ライ麦入りではなく、ライ麦パンですね。毎日の朝食として、本質的に、添加物が少なく健康的でヘルシーなものを求めています。
5,3,リクエスト,商品・メニュー,メニューへのリクエスト,もしできればある程度値段が高くてもいいので朝食としてヘルシーなもの、添加物の少ないものを売っていただけるとありがたいです、個人的にはライ麦パンが食べたいです。ライ麦入りではなく、ライ麦パンですね。毎日の朝食として、本質的に、添加物が少なく健康的でヘルシーなものを求めています。,東府中店すごくいいです。毎日通ってます。コーヒーもおいしい。もしできればある程度値段が高くてもいいので朝食としてヘルシーなもの、添加物の少ないものを売っていただけるとありがたいです、個人的にはライ麦パンが食べたいです。ライ麦入りではなく、ライ麦パンですね。毎日の朝食として、本質的に、添加物が少なく健康的でヘルシーなものを求めています。
6,1,好意的,店舗・立地,来店のルーティンがある,朝の散歩　ラジオ体操の後にたまに寄ります,"朝の散歩　ラジオ体操の後にたまに寄ります


モーニング食べてアメリカンを飲むのが
お気にいりです
朝早くから入れて　助かってます
いつまでも　続いて下さい😊"
6,2,好意的,店舗・立地,モーニング利用者の声,"モーニング食べてアメリカンを飲むのが
お気にいりです","朝の散歩　ラジオ体操の後にたまに寄ります


モーニング食べてアメリカンを飲むのが
お気にいりです
朝早くから入れて　助かってます
いつまでも　続いて下さい😊"
6,3,好意的,店舗・立地,早朝営業がうれしい,朝早くから入れて　助かってます,"朝の散歩　ラジオ体操の後にたまに寄ります


モーニング食べてアメリカンを飲むのが
お気にいりです
朝早くから入れて　助かってます
いつまでも　続いて下さい😊"
6,4,好意的,店舗・立地,お店への感謝・応援の声,いつまでも　続いて下さい😊,"朝の散歩　ラジオ体操の後にたまに寄ります


モーニング食べてアメリカンを飲むのが
お気にいりです
朝早くから入れて　助かってます
いつまでも　続いて下さい😊"
7,1,好意的,商品・メニュー,パンへのこだわりを感じる,ふじりんごのパイ、北海道産金時豆パン、国産小麦のクルミパンなど、定番商品に国産の食材を使っているところに良いこだわりを感じています。,"ふじりんごのパイ、北海道産金時豆パン、国産小麦のクルミパンなど、定番商品に国産の食材を使っているところに良いこだわりを感じています。
子どもの頃から最寄駅にルパがあるのですが、毎回ルパの新作を見ると季節の移り変わり感じていて、新商品を眺めたり食べるのを楽しみにしていています。
今回は、通勤のときに電車の乗換時間に余裕があったので、橋本店オリジナルのシナモンロールに続いて、気になっていた橋本ブレッドを買ってみました。
十年以上前ですが、長四角の形をしたドライフルーツと雑穀の入ったパンをよく食べていて、それを思い出し懐かしくなりました。
バターロールなどシンプルなパンもとても美味しいので、もしよければお米パン（米粉パン）も定番で出してもらえたら嬉しいです。"
7,2,好意的,商品・メニュー,季節限定・毎月の新作が楽しみ,子どもの頃から最寄駅にルパがあるのですが、毎回ルパの新作を見ると季節の移り変わり感じていて、新商品を眺めたり食べるのを楽しみにしていています。,"ふじりんごのパイ、北海道産金時豆パン、国産小麦のクルミパンなど、定番商品に国産の食材を使っているところに良いこだわりを感じています。
子どもの頃から最寄駅にルパがあるのですが、毎回ルパの新作を見ると季節の移り変わり感じていて、新商品を眺めたり食べるのを楽しみにしていています。
今回は、通勤のときに電車の乗換時間に余裕があったので、橋本店オリジナルのシナモンロールに続いて、気になっていた橋本ブレッドを買ってみました。
十年以上前ですが、長四角の形をしたドライフルーツと雑穀の入ったパンをよく食べていて、それを思い出し懐かしくなりました。
バターロールなどシンプルなパンもとても美味しいので、もしよければお米パン（米粉パン）も定番で出してもらえたら嬉しいです。"
7,3,好意的,商品・メニュー,推しパン（メニュー）がある,"今回は、通勤のときに電車の乗換時間に余裕があったので、橋本店オリジナルのシナモンロールに続いて、気になっていた橋本ブレッドを買ってみました。
十年以上前ですが、長四角の形をしたドライフルーツと雑穀の入ったパンをよく食べていて、それを思い出し懐かしくなりました。","ふじりんごのパイ、北海道産金時豆パン、国産小麦のクルミパンなど、定番商品に国産の食材を使っているところに良いこだわりを感じています。
子どもの頃から最寄駅にルパがあるのですが、毎回ルパの新作を見ると季節の移り変わり感じていて、新商品を眺めたり食べるのを楽しみにしていています。
今回は、通勤のときに電車の乗換時間に余裕があったので、橋本店オリジナルのシナモンロールに続いて、気になっていた橋本ブレッドを買ってみました。
十年以上前ですが、長四角の形をしたドライフルーツと雑穀の入ったパンをよく食べていて、それを思い出し懐かしくなりました。
バターロールなどシンプルなパンもとても美味しいので、もしよければお米パン（米粉パン）も定番で出してもらえたら嬉しいです。"
7,4,リクエスト,商品・メニュー,メニューへのリクエスト,バターロールなどシンプルなパンもとても美味しいので、もしよければお米パン（米粉パン）も定番で出してもらえたら嬉しいです。,"ふじりんごのパイ、北海道産金時豆パン、国産小麦のクルミパンなど、定番商品に国産の食材を使っているところに良いこだわりを感じています。
子どもの頃から最寄駅にルパがあるのですが、毎回ルパの新作を見ると季節の移り変わり感じていて、新商品を眺めたり食べるのを楽しみにしていています。
今回は、通勤のときに電車の乗換時間に余裕があったので、橋本店オリジナルのシナモンロールに続いて、気になっていた橋本ブレッドを買ってみました。
十年以上前ですが、長四角の形をしたドライフルーツと雑穀の入ったパンをよく食べていて、それを思い出し懐かしくなりました。
バターロールなどシンプルなパンもとても美味しいので、もしよければお米パン（米粉パン）も定番で出してもらえたら嬉しいです。"
8,1,好意的,価格・支払い,価格がお手頃でありがたい,しかもお値段も良心的！出来たての温かいパンもあり、嬉しいです！,"ルパは、パンの種類が豊富でいつも選ぶのがとっても楽しみです！しかもお値段も良心的！出来たての温かいパンもあり、嬉しいです！
季節限定のパンも楽しみで、秋は特にお芋や栗のパンがあるので、ついついたくさん購入してしまいます！これからも美味しいパンを楽しみにしています！"
8,2,好意的,商品・メニュー,季節限定・毎月の新作が楽しみ,季節限定のパンも楽しみで、,"ルパは、パンの種類が豊富でいつも選ぶのがとっても楽しみです！しかもお値段も良心的！出来たての温かいパンもあり、嬉しいです！
季節限定のパンも楽しみで、秋は特にお芋や栗のパンがあるので、ついついたくさん購入してしまいます！これからも美味しいパンを楽しみにしています！"
8,3,好意的,商品・メニュー,推しパン（メニュー）がある,秋は特にお芋や栗のパンがあるので、ついついたくさん購入してしまいます！,"ルパは、パンの種類が豊富でいつも選ぶのがとっても楽しみです！しかもお値段も良心的！出来たての温かいパンもあり、嬉しいです！
季節限定のパンも楽しみで、秋は特にお芋や栗のパンがあるので、ついついたくさん購入してしまいます！これからも美味しいパンを楽しみにしています！"
8,4,好意的,店舗・立地,お店への感謝・応援の声,これからも美味しいパンを楽しみにしています！,"ルパは、パンの種類が豊富でいつも選ぶのがとっても楽しみです！しかもお値段も良心的！出来たての温かいパンもあり、嬉しいです！
季節限定のパンも楽しみで、秋は特にお芋や栗のパンがあるので、ついついたくさん購入してしまいます！これからも美味しいパンを楽しみにしています！"
9,1,好意的,店舗・立地,ルパのファン・常連の声,以前から美味しいパンがたくさんあって、利用させて頂いておりましたが、,"以前から美味しいパンがたくさんあって、利用させて頂いておりましたが、リニューアルして、お店も更に明るい内装になり、パンもバリエーションが多く、どれも美味しかったです！特に、りんごと紅茶のパンは、食べた時に紅茶の香りも良く感じられて、本当に美味しかったです。
パンが一つ一つビニールに入っているところも、大変な作業だとは思いますが、買う側としては安心感があって、とても良いです！これからも、利用させて頂きます。"
9,2,好意的,運営・設備,清潔で雰囲気・居心地がいい,リニューアルして、お店も更に明るい内装になり、,"以前から美味しいパンがたくさんあって、利用させて頂いておりましたが、リニューアルして、お店も更に明るい内装になり、パンもバリエーションが多く、どれも美味しかったです！特に、りんごと紅茶のパンは、食べた時に紅茶の香りも良く感じられて、本当に美味しかったです。
パンが一つ一つビニールに入っているところも、大変な作業だとは思いますが、買う側としては安心感があって、とても良いです！これからも、利用させて頂きます。"
9,3,好意的,商品・メニュー,メニューが豊富で楽しい,パンもバリエーションが多く、,"以前から美味しいパンがたくさんあって、利用させて頂いておりましたが、リニューアルして、お店も更に明るい内装になり、パンもバリエーションが多く、どれも美味しかったです！特に、りんごと紅茶のパンは、食べた時に紅茶の香りも良く感じられて、本当に美味しかったです。
パンが一つ一つビニールに入っているところも、大変な作業だとは思いますが、買う側としては安心感があって、とても良いです！これからも、利用させて頂きます。"
9,4,好意的,商品・メニュー,パンが美味しい・満足,どれも美味しかったです！,"以前から美味しいパンがたくさんあって、利用させて頂いておりましたが、リニューアルして、お店も更に明るい内装になり、パンもバリエーションが多く、どれも美味しかったです！特に、りんごと紅茶のパンは、食べた時に紅茶の香りも良く感じられて、本当に美味しかったです。
パンが一つ一つビニールに入っているところも、大変な作業だとは思いますが、買う側としては安心感があって、とても良いです！これからも、利用させて頂きます。"
9,5,好意的,商品・メニュー,パンへのこだわりを感じる,特に、りんごと紅茶のパンは、食べた時に紅茶の香りも良く感じられて、本当に美味しかったです。,"以前から美味しいパンがたくさんあって、利用させて頂いておりましたが、リニューアルして、お店も更に明るい内装になり、パンもバリエーションが多く、どれも美味しかったです！特に、りんごと紅茶のパンは、食べた時に紅茶の香りも良く感じられて、本当に美味しかったです。
パンが一つ一つビニールに入っているところも、大変な作業だとは思いますが、買う側としては安心感があって、とても良いです！これからも、利用させて頂きます。"
9,6,好意的,接客・サービス,接客が丁寧・細やかな気配り,パンが一つ一つビニールに入っているところも、大変な作業だとは思いますが、買う側としては安心感があって、とても良いです！これからも、利用させて頂きます。,"以前から美味しいパンがたくさんあって、利用させて頂いておりましたが、リニューアルして、お店も更に明るい内装になり、パンもバリエーションが多く、どれも美味しかったです！特に、りんごと紅茶のパンは、食べた時に紅茶の香りも良く感じられて、本当に美味しかったです。
パンが一つ一つビニールに入っているところも、大変な作業だとは思いますが、買う側としては安心感があって、とても良いです！これからも、利用させて頂きます。"
10,1,好意的,店舗・立地,気軽に寄れる・使いやすい,入りやすい、選びやすい、レジが担当人数も多い、席回転早め、,"入りやすい、選びやすい、レジが担当人数も多い、席回転早め、新装になり落ち着いた店内の自然な照明💡、飲食カウンター前の壁高めになった？で、明るいのに間接照明でまた落ち着ける。
今日はチョコデニッシュ、おみやげは大好きフレンチトースト！1度、吉祥寺在住でらした梅図かずお先生が、美味しそうにカレーパンをほおばってられて😊✨これからも私にとってなくてはならないイートインcafe✨Le repas✨"
10,2,好意的,運営・設備,清潔で雰囲気・居心地がいい,新装になり落ち着いた店内の自然な照明💡、飲食カウンター前の壁高めになった？で、明るいのに間接照明でまた落ち着ける。,"入りやすい、選びやすい、レジが担当人数も多い、席回転早め、新装になり落ち着いた店内の自然な照明💡、飲食カウンター前の壁高めになった？で、明るいのに間接照明でまた落ち着ける。
今日はチョコデニッシュ、おみやげは大好きフレンチトースト！1度、吉祥寺在住でらした梅図かずお先生が、美味しそうにカレーパンをほおばってられて😊✨これからも私にとってなくてはならないイートインcafe✨Le repas✨"
10,3,好意的,商品・メニュー,推しパン（メニュー）がある,今日はチョコデニッシュ、おみやげは大好きフレンチトースト！,"入りやすい、選びやすい、レジが担当人数も多い、席回転早め、新装になり落ち着いた店内の自然な照明💡、飲食カウンター前の壁高めになった？で、明るいのに間接照明でまた落ち着ける。
今日はチョコデニッシュ、おみやげは大好きフレンチトースト！1度、吉祥寺在住でらした梅図かずお先生が、美味しそうにカレーパンをほおばってられて😊✨これからも私にとってなくてはならないイートインcafe✨Le repas✨"
10,4,好意的,店舗・立地,長年利用のコアなファン,1度、吉祥寺在住でらした梅図かずお先生が、美味しそうにカレーパンをほおばってられて😊✨これからも私にとってなくてはならないイートインcafe✨Le repas✨,"入りやすい、選びやすい、レジが担当人数も多い、席回転早め、新装になり落ち着いた店内の自然な照明💡、飲食カウンター前の壁高めになった？で、明るいのに間接照明でまた落ち着ける。
今日はチョコデニッシュ、おみやげは大好きフレンチトースト！1度、吉祥寺在住でらした梅図かずお先生が、美味しそうにカレーパンをほおばってられて😊✨これからも私にとってなくてはならないイートインcafe✨Le repas✨"
11,1,好意的,店舗・立地,ルパのファン・常連の声,パンはどれも美味しくて時間がある時はカフェを利用させて頂いているのですが、,"パンはどれも美味しくて時間がある時はカフェを利用させて頂いているのですが、長くお勤めされている方で一人店内の雰囲気をぶち壊すスタッフさん(女性)がいらっしゃるので開店直後と19時以降は利用しないようにしています。後輩スタッフさんの教育かも知れませんが見せしめ的な指導の仕方をされるので一気に居心地が悪くなります。
パンは美味しいだけに残念です。"
11,2,不満,接客・サービス,接客や対応が雑・私語が多い,"長くお勤めされている方で一人店内の雰囲気をぶち壊すスタッフさん(女性)がいらっしゃるので開店直後と19時以降は利用しないようにしています。後輩スタッフさんの教育かも知れませんが見せしめ的な指導の仕方をされるので一気に居心地が悪くなります。
パンは美味しいだけに残念です。","パンはどれも美味しくて時間がある時はカフェを利用させて頂いているのですが、長くお勤めされている方で一人店内の雰囲気をぶち壊すスタッフさん(女性)がいらっしゃるので開店直後と19時以降は利用しないようにしています。後輩スタッフさんの教育かも知れませんが見せしめ的な指導の仕方をされるので一気に居心地が悪くなります。
パンは美味しいだけに残念です。"
12,1,好意的,店舗・立地,ルパのファン・常連の声,平日の朝によく利用しています。,"平日の朝によく利用しています。混むことが多いですがレジがいつもスピーディーで行列を捌いてくださいます。
全部美味しくて好きですが目玉焼きトースト、シナモントーストがお気に入りです。
難しいとは思いますが朝7時過ぎの品数をもう少し増やしてほしいです。
あと、イートインですがパンをシート1枚の上に置くのはエコで良いと思います。たまに紙のトレーで出してくださる事もありました。せめて紙のトレーが毎回あると嬉しいです。"
12,2,好意的,接客・サービス,接客が丁寧・細やかな気配り,混むことが多いですがレジがいつもスピーディーで行列を捌いてくださいます。,"平日の朝によく利用しています。混むことが多いですがレジがいつもスピーディーで行列を捌いてくださいます。
全部美味しくて好きですが目玉焼きトースト、シナモントーストがお気に入りです。
難しいとは思いますが朝7時過ぎの品数をもう少し増やしてほしいです。
あと、イートインですがパンをシート1枚の上に置くのはエコで良いと思います。たまに紙のトレーで出してくださる事もありました。せめて紙のトレーが毎回あると嬉しいです。"
12,3,好意的,商品・メニュー,推しパン（メニュー）がある,全部美味しくて好きですが目玉焼きトースト、シナモントーストがお気に入りです。,"平日の朝によく利用しています。混むことが多いですがレジがいつもスピーディーで行列を捌いてくださいます。
全部美味しくて好きですが目玉焼きトースト、シナモントーストがお気に入りです。
難しいとは思いますが朝7時過ぎの品数をもう少し増やしてほしいです。
あと、イートインですがパンをシート1枚の上に置くのはエコで良いと思います。たまに紙のトレーで出してくださる事もありました。せめて紙のトレーが毎回あると嬉しいです。"
12,4,リクエスト,商品・メニュー,オープン時の品揃えが増えてほしい,難しいとは思いますが朝7時過ぎの品数をもう少し増やしてほしいです。,"平日の朝によく利用しています。混むことが多いですがレジがいつもスピーディーで行列を捌いてくださいます。
全部美味しくて好きですが目玉焼きトースト、シナモントーストがお気に入りです。
難しいとは思いますが朝7時過ぎの品数をもう少し増やしてほしいです。
あと、イートインですがパンをシート1枚の上に置くのはエコで良いと思います。たまに紙のトレーで出してくださる事もありました。せめて紙のトレーが毎回あると嬉しいです。"
12,5,不満,運営・設備,トレーなど備品に対する意見,あと、イートインですがパンをシート1枚の上に置くのはエコで良いと思います。たまに紙のトレーで出してくださる事もありました。せめて紙のトレーが毎回あると嬉しいです。,"平日の朝によく利用しています。混むことが多いですがレジがいつもスピーディーで行列を捌いてくださいます。
全部美味しくて好きですが目玉焼きトースト、シナモントーストがお気に入りです。
難しいとは思いますが朝7時過ぎの品数をもう少し増やしてほしいです。
あと、イートインですがパンをシート1枚の上に置くのはエコで良いと思います。たまに紙のトレーで出してくださる事もありました。せめて紙のトレーが毎回あると嬉しいです。"
13,1,好意的,商品・メニュー,モーニングのトーストが好き,モーニングのバタートーストが好きでいつも食べてます。分厚いトーストにたっぷりのバター、最高です。,モーニングのバタートーストが好きでいつも食べてます。分厚いトーストにたっぷりのバター、最高です。サラダも安くて嬉しい。ただ、トーストの焼き加減がまちまちで、しっかり焼きサクサク派の私にはたまに少し焼きが足りないな、と思う時があります。
13,2,好意的,価格・支払い,価格がお手頃でありがたい,サラダも安くて嬉しい。,モーニングのバタートーストが好きでいつも食べてます。分厚いトーストにたっぷりのバター、最高です。サラダも安くて嬉しい。ただ、トーストの焼き加減がまちまちで、しっかり焼きサクサク派の私にはたまに少し焼きが足りないな、と思う時があります。
13,3,不満,商品・メニュー,商品クオリティのばらつき感,ただ、トーストの焼き加減がまちまちで、しっかり焼きサクサク派の私にはたまに少し焼きが足りないな、と思う時があります。,モーニングのバタートーストが好きでいつも食べてます。分厚いトーストにたっぷりのバター、最高です。サラダも安くて嬉しい。ただ、トーストの焼き加減がまちまちで、しっかり焼きサクサク派の私にはたまに少し焼きが足りないな、と思う時があります。
14,1,好意的,店舗・立地,ルパのファン・常連の声,"新装再開店おめでとうございます
大好きなオアシスみたいなトコだったので
また来る事が出来て嬉しいです","新装再開店おめでとうございます
大好きなオアシスみたいなトコだったので
また来る事が出来て嬉しいです
元々キレイに保たれていたのですが
新しくなってなんとな～く嬉しいです
イスが新しくなって座り心地が良いな、と
思いました。
ここの素朴な味わいのパンが大好きです。
またたくさん使わせていただきたいと思います"
14,2,好意的,運営・設備,清潔で雰囲気・居心地がいい,"元々キレイに保たれていたのですが
新しくなってなんとな～く嬉しいです
イスが新しくなって座り心地が良いな、と
思いました。","新装再開店おめでとうございます
大好きなオアシスみたいなトコだったので
また来る事が出来て嬉しいです
元々キレイに保たれていたのですが
新しくなってなんとな～く嬉しいです
イスが新しくなって座り心地が良いな、と
思いました。
ここの素朴な味わいのパンが大好きです。
またたくさん使わせていただきたいと思います"
14,3,好意的,店舗・立地,ルパのファン・常連の声,"ここの素朴な味わいのパンが大好きです。
またたくさん使わせていただきたいと思います","新装再開店おめでとうございます
大好きなオアシスみたいなトコだったので
また来る事が出来て嬉しいです
元々キレイに保たれていたのですが
新しくなってなんとな～く嬉しいです
イスが新しくなって座り心地が良いな、と
思いました。
ここの素朴な味わいのパンが大好きです。
またたくさん使わせていただきたいと思います"
15,1,好意的,店舗・立地,来店のルーティンがある,久我山の仕事の際は毎回利用しています。,"仕事前のモーニングを楽しみに、久我山の仕事の際は毎回利用しています。
味やサービスには満足なのですが、レジ対応でいつもいる年配の方が無愛想で、毎回嫌な気持ちになります。今日も無愛想な受け答えの後、ポイントカードも投げるように置かれました。"
15,2,好意的,商品・メニュー,パンが美味しい・満足,味やサービスには満足なのですが、,"仕事前のモーニングを楽しみに、久我山の仕事の際は毎回利用しています。
味やサービスには満足なのですが、レジ対応でいつもいる年配の方が無愛想で、毎回嫌な気持ちになります。今日も無愛想な受け答えの後、ポイントカードも投げるように置かれました。"
15,3,不満,接客・サービス,接客や対応が雑・私語が多い,レジ対応でいつもいる年配の方が無愛想で、毎回嫌な気持ちになります。今日も無愛想な受け答えの後、ポイントカードも投げるように置かれました。,"仕事前のモーニングを楽しみに、久我山の仕事の際は毎回利用しています。
味やサービスには満足なのですが、レジ対応でいつもいる年配の方が無愛想で、毎回嫌な気持ちになります。今日も無愛想な受け答えの後、ポイントカードも投げるように置かれました。"